Taxonomy	AMI22.2	AMI23.2	AMI24.2	AMI25.2	AMI29.2	AMI10.2	AMI11.2	AMI1.2	AMI2.2	AMI30.2	AMI31.2	AMI3.2	AMI32.2	AMI4.2	AMI5.2	AMI6.2	AMI7.2	AMI8.2	AMI13.2	AMI14.2	AMI15.2	AMI17.2	AMI19.2	AMI20.2	AMI21.2	A16.2	A36.2	A38.2	A39.2	A61.2	A62.2	A73.2	A77.2	AMI70.2	AMI71.2	AMI72.2	AMI74.2	AMI75.2	AMI76.2	AMI78.2	AMI79.2	AMI80.2	AMI81.2	AMI82.2	AMI83.2	AMI84.2	AMI85.2	AMI87.2	AMI88.2	AMI90.2	AMI91.2	AMI93.2	AMI95.2	AMI96.2	AMI97.2	AMI98.2	A89.2	A92.2	A94.2	N1	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N2	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N3	N30	N31	N32	N33	N34	N35	N36	N37	N38	N39	N4	N40	N41	N42	N43	N44	N45	N5	N6	N7	N8	N9	SAP48	SAP49	SAP50	AMI33.2	AMI34.2	AMI35.2	AMI37.2	AMI40.2	AMI41.2	AMI42.2	AMI43.2	AMI44.2	AMI45.2	AMI46.2	AMI47.2	AMI48.2	AMI49.2	AMI50.2	AMI51.2	AMI52.2	AMI53.2	AMI54.2	AMI55.2	AMI56.2	AMI57.2	AMI58.2	AMI59.2	AMI60.2	AMI63.2	AMI64.2	AMI65.2	AMI66.2	AMI67.2	AMI68.2	N46	N50	SAP1	SAP10	SAP11	SAP12	SAP13	SAP14	SAP15	SAP16	SAP17	SAP18	SAP19	SAP2	SAP20	SAP21	SAP22	SAP23	SAP24	SAP25	SAP26	SAP27	SAP28	SAP29	SAP3	SAP30	SAP31	SAP32	SAP33	SAP34	SAP35	SAP36	SAP37	SAP38	SAP39	SAP4	SAP40	SAP41	SAP42	SAP43	SAP44	SAP45	SAP46	SAP47	SAP5	SAP6	SAP7	SAP8	SAP9	A99.2	A100.2	AMI69.2	AMI12.2	AMI18.2	AMI26.2	AMI27.2	AMI28.2	AMI9.2	N47	N49	Tax_detail
[Thermi]	0.000215964	0.001120159	0.00208361	0.001282732	0.000868734	0.000884721	0.000713267	0.000565488	0.001222974	0.002496986	0.000430163	0.0004434	0.000257987	0.000260654	0.000957604	0.000520336	0.000820026	0.000731246	0.000308099	0.000408126	0.000134825	0.000220907	0.000501756	0.000304613	0.000517822	0.0006509	0.00126898	0.000859771	0.000433088	0.000445474	0.000440529	0.000626482	0.000476934	0.000823259	0.002104248	0.001519163	0.000615033	0.001507627	0.000996102	0.001349175	0.001083799	0.000784245	0.002256138	0.002509736	0.000521308	0.00034988	0.000608378	0.000430719	0.001085776	0.007478116	0.00206657	0.00092564	0.000930521	0.000920286	0.000802425	0.00069653	0.00113691	0.000300043	0.000987209	0.000641409	0.000298342	0.003082984	0.001159147	8.51E-05	0.000127921	0.000638896	0.000641135	0.000340672	0.000342906	0.000471314	0.003466054	0.000723404	0.001027309	0.00091655	0.001509662	0.001486014	0.000994122	0.001614592	0.001258517	0.001254759	0.001833581	0.001249031	0.000615601	0.00116525	0.000863185	0.001475951	0.000861289	0.002195342	0.001857692	0.000172488	0.002115097	0.001662147	0.001895245	0.000820167	0.000643887	0.000519481	0.000945748	0.000644053	0.001033859	0.00087858	0.000255962	0.001241757	0.001245811	0.000127448	0.000818648	0.002364168	0.001078423	0.000727397	0.000640916	0.044465428	0.000936649	0.001062473	0.001242662	0.001239369	0.001698947	0.000643749	0.000603448	0.005824568	0.00042584	0.000341778	0.001332875	0.000900206	0.001021016	0.000897014	0.000171277	0.004475363	0.000340093	0.00038501	0.000474158	0.000219423	4.28E-05	0.000599777	0.000389492	0.00021245	8.50E-05	0.000427753	0.00012803	0.000215267	0.000859107	0.000516373	0.001561687	0.000299452	0.000987464	0.000901791	0.000940533	0.000979474	0.000820947	0.005399801	0.000986024	0.000298571	0.000424863	0.000169989	0.000169786	0.000680359	0.000680677	0.000298533	0.000296925	0.000856458	4.24E-05	0.000384944	0.002661344	0.000767035	0.000428614	0.000212775	0.000811376	0.001132059	0.000341413	0.000815906	0.001031947	0.000820345	0.000598265	0.00140809	0.000691563	0.002488778	0.002611301	0.000920608	0.000477949	0.000468584	0.000723743	0.000811342	0.000943234	0.001335171	0.000468604	0.000298622	0.000642316	0.000558491	0.000298139	0.000428798	0.00017211	8.77E-05	0.000905018	0.000695864	0.001184055	0.000403262	0.00170228	0.001401235	0.001219953	0.000259134	k__Bacteria;p__[Thermi];
Verrucomicrobia	0.008940912	0.008056525	0.027530257	0.013623496	0.004778038	0.005308325	0.004547076	0.004132411	0.003625246	0.01127949	0.006108315	0.0042123	0.004643763	0.006342587	0.006137373	0.005593617	0.004790678	0.003269098	0.01346831	0.012470524	0.009617545	0.004727401	0.009122839	0.006875544	0.002848019	0.003211109	0.004244519	0.000988737	0.001515808	0.002895581	0.004273128	0.002103191	0.001127298	0.001299883	0.004296173	0.001562568	0.001932961	0.002527492	0.002771763	0.001262132	0.000823688	0.00213489	0.012784782	0.001427953	0.001737695	0.001880604	0.004128281	0.000646078	0.002388708	0.005454625	0.003297718	0.002159827	0.002835874	0.004995837	0.004235021	0.001436594	0.002055184	0.001457351	0.001931496	0.002180792	0.001321229	0.003468357	0.007341261	0.000595643	0.000596964	0.000979641	0.000769362	0.000511008	0.014144878	0.001928103	0.001386422	0.000765957	0.003124732	0.002094972	0.003062457	0.002797203	0.006785961	0.001789143	0.001605694	0.002379716	0.002357461	0.002067362	0.008882244	0.001424194	0.001337937	0.001779823	0.002626933	0.001894021	0.001987299	0.003492885	0.003392967	0.002624442	0.005082702	0.000518001	0.000944368	0.002597403	0.001891497	0.000772864	0.001292324	0.003777895	0.001749072	0.000428192	0.001245811	0.000764688	0.001378775	0.001289546	0.002631352	0.001497582	0.001025466	0.001201768	0.000468324	0.000424989	0.002185371	0.000598316	0.000297316	0.001587915	0.002198276	0.004868295	0.000340672	0.001153501	0.00223579	0.00111454	0.000467966	0.001067874	0.001284577	0.003899326	0.000382604	0.002609514	0.003922583	0.001404309	0.003635741	0.001071031	0.013329294	0.000637349	0.001700102	0.002566516	0.001877774	0.000818014	0.00064433	0.001075778	0.001518306	0.001112252	0.000643998	0.001502984	0.001325296	0.002129291	0.002073972	0.002289516	0.00068593	0.000383877	0.000552322	0.00029748	0.000169786	0.000595314	0.00055305	0.00034118	0.000339343	0.001241864	0.00016965	0.001668092	0.012863163	0.000468743	0.00210021	0.000978765	0.001665457	0.002089955	0.000725504	0.000944733	0.001289934	0.001381633	0.000982864	0.001365421	0.002852697	0.005866406	0.001669521	0.002060409	0.001868347	0.000638978	0.000383158	0.000896746	0.001243354	0.001162891	0.000724206	0.000895866	0.002355158	0.001074022	0.000979599	0.004631019	0.004345768	0.002893848	0.005792117	0.003740269	0.025742227	0.029438122	0.025355015	0.00402855	0.014006868	0.004362097	k__Bacteria;p__Verrucomicrobia;
Spirochaetes	0.000518314	0.001077076	0.001640289	0.001857749	0.000999044	4.42E-05	0.000267475	4.35E-05	0	0.000258309	0	4.43E-05	0	0.000173769	4.35E-05	0	4.32E-05	0.000129043	0.000308099	4.53E-05	0.000808952	0.000706901	0.000182457	0.000478677	8.63E-05	0.00026036	0.000350063	4.30E-05	0.000779558	0.000222737	0.000396476	0.000178995	0.00108394	0.000129988	0.000175354	8.68E-05	0.000219655	0.000576446	0.000173235	0.000130565	0.000997095	8.71E-05	0	4.33E-05	0.000390981	0.000131205	0.000260734	0.000646078	0.000477742	0.000439889	0.000395726	0.000837484	0.000576037	0.000920286	0.000445792	0.00470158	0	0	0.000171689	0	0	0	0	0	4.26E-05	0	4.27E-05	0	0	0	4.33E-05	0	0	4.36E-05	0.000172533	0.000131119	4.32E-05	0.000261826	0	4.33E-05	0.000174627	0	4.40E-05	4.32E-05	8.63E-05	0.000130231	0	0	4.32E-05	4.31E-05	4.41E-05	4.37E-05	8.61E-05	0	4.29E-05	0	0	4.29E-05	0	4.39E-05	4.27E-05	0	0	4.25E-05	0	0	0	8.56E-05	4.27E-05	8.58E-05	4.26E-05	4.25E-05	0	0	4.25E-05	4.29E-05	0	0	0	0	0	0	0	4.27E-05	0	0.000177242	0.000170046	0.000128337	8.62E-05	0.000263308	8.55E-05	0.000257047	8.66E-05	0.000297429	0.000425026	0.000342202	0.000426767	0.00012916	0.000300687	0.000559404	0.000216901	0.000213895	4.29E-05	0.000128827	4.28E-05	0.000340686	4.32E-05	0.000215992	0	8.53E-05	0	0	0	0	0	0.000127943	0.000212089	0	0	0.000171086	0.000221779	0	0.000128584	4.26E-05	0	0.000261244	8.54E-05	0	0	4.32E-05	0	4.27E-05	8.64E-05	0.000222212	0	4.38E-05	4.34E-05	0	0	0	0	8.61E-05	4.26E-05	0.000511924	0.000256926	0.000386648	8.52E-05	0.000128639	0	0.000833078	9.05E-05	4.35E-05	0.001008639	0.000896138	0.001075124	4.38E-05	0.020377734	0.000129567	k__Bacteria;p__Spirochaetes;
Tenericutes	0.004016932	0.002024902	0.009354081	0.009952229	0.004430545	0.007652836	0.001738588	0.001348471	0.004760865	0.000990184	0.00116144	0.0028821	0.001160941	0.000999175	0.002611648	0.001951262	0.001122141	0.000946318	0.000308099	0.000544168	0.000314593	0.000751082	0.005200018	0.000739774	0.000906188	0.001735734	0.003281845	0.00120368	0.003854482	0.012651461	0.002026432	0.003490401	0.003685397	0.000606612	0.002148086	0.001128521	0.002372271	0.004123803	0.000389779	0.00121861	0.002384359	0.000871384	0.001946472	0.001038511	0.002649985	0.002667833	0.000695289	0.001636732	0.001693811	0.002771302	0.003825353	0.004363733	0.004253811	0.00210351	0.003343438	0.005789909	0.000262364	0.000342906	0.000515066	0.000384846	0.000468823	0.000256915	0.000601039	0.000850919	0.000724885	0.000894454	0.000512908	0.000894264	0.000428633	0.000385621	0.001256445	0.000170213	0.000128414	0.001178422	0.000862664	0.000917832	0.000561895	0.001527317	0.000564163	0.003721011	0.001004104	0.00055991	0.00145106	0.000690518	0.000431593	0.00138913	0.000301451	0.000129138	0.000432021	0.000733075	0.001189742	0.001180999	0.00206754	0.000647501	0.000257555	0.000519481	0.000515863	0.000386432	0.000560007	0.001449657	0.000469263	0.000214096	0.000730303	0.000934619	0.000990995	0.000472834	0.000776464	0.000513457	0.000683644	0.000515044	0.000340599	0.000169996	0.000128551	8.55E-05	0.000212368	0.000557916	0.000818966	0.000695471	0.000298088	0.000170889	4.30E-05	0.000171468	0.000170169	0.000128145	0.000214096	0.000886211	0	0.00038501	0.000560369	0.000789924	8.55E-05	0.000471254	0.000302939	0.000254939	0.00034002	0.000684404	0.000469443	0.00038748	0.000558419	0.002280649	0.001041124	0.000898357	0.001202129	0.00107356	0.000983284	0.000894302	0.000734532	0.000907167	0.000643059	0.000255918	0.000254918	0.000169989	0.00038202	0.000297657	0.000297796	0.000426476	0.000212089	0.000428229	0.00016965	0.000769889	0.001020182	0.000681808	0.001028674	0.00051066	0.000555152	0.001698089	0.00076818	0.001460042	0.000644967	0.000949873	0.000512799	0.000810719	0.00064834	0.001111062	0.000342466	0.001271316	0.000477949	0.000511182	0.000212866	0.000341618	0.00030012	0.000861401	0.000553804	0.000682565	0.000899242	0.002019161	0.001107373	0.000600317	0.000129082	0.004077695	0.000905018	0.000695864	0.004429242	0.005242405	0.008511401	0.000350309	0.000406651	0.000561458	k__Bacteria;p__Tenericutes;
Gemmatimonadetes	0.002246026	0.002671147	0.005984838	0.002432767	0.001911215	0.003140759	0.004145863	0.002479447	0.003275824	0.004778715	0.003355272	0.00545382	0.003095842	0.002432773	0.004222164	0.002948573	0.003409581	0.002580867	0.012323944	0.015009976	0.015010561	0.014182204	0.017880764	0.009312446	0.002545957	0.004078976	0.005207194	0.00331012	0.004807276	0.009711333	0.006343612	0.005727838	0.003338536	0.00537285	0.006312744	0.004036634	0.007072881	0.010242994	0.003334777	0.003873439	0.002514415	0.002788428	0.005175846	0.003937689	0.00438768	0.00590422	0.002172779	0.001852091	0.005646037	0.007478116	0.00822231	0.011592542	0.014533853	0.005434068	0.006419401	0.004353315	0.007346189	0.004157737	0.004592669	0.001667664	0.000852406	0.001584311	0.00094449	0.000765827	0.000255842	0.000766675	0.000598393	0.000936848	0.001200171	0.001285402	0.003942637	0.000680851	0.001070114	0.00440817	0.003191856	0.007255245	0.00242047	0.005149241	0.005988804	0.004413292	0.005893652	0.005125334	0.004177293	0.004272582	0.002503237	0.003255774	0.002713061	0.002797985	0.001728086	0.002932298	0.003525161	0.004024145	0.002153687	0.001813002	0.002489698	0.003246753	0.00210644	0.001846286	0.001723098	0.005974345	0.001919713	0.002954526	0.001503566	0.000339862	0.004437934	0.00176238	0.003666638	0.001283642	0.001410015	0.002188935	0.000596049	0.000509987	0.00107126	0.001025685	0.000679579	0.002231664	0.002586207	0.004346692	0.000894264	0.000683556	0.001934818	0.000685871	0.000297796	0.001537739	0.002697611	0.006823821	0.001190324	0.001711157	0.001982844	0.006494931	0.003079687	0.002998886	0.003462154	0.002464415	0.005695342	0.002652066	0.002645954	0.003573427	0.001847079	0.002624898	0.006463647	0.001112252	0.005194917	0.001975351	0.001496302	0.001192403	0.003759074	0.003369476	0.001328989	0.000938366	0.001104644	0.000764948	0.000509359	0.000807926	0.001446439	0.000938246	0.000254507	0.00252655	0.000254475	0.001497006	0.011355068	0.001448843	0.001543011	0.00051066	0.002391425	0.003396177	0.000981564	0.001674754	0.003697811	0.00272009	0.000897398	0.001664107	0.00177213	0.017154793	0.002696918	0.002454956	0.002389746	0.001533546	0.000851462	0.002305919	0.002915452	0.003402533	0.000852006	0.000853206	0.002226695	0.001761395	0.000596278	0.002358389	0.004603933	0.004866927	0.003982081	0.009263689	0.004560803	0.010440004	0.004793263	0.001445023	0.019338514	0.001382051	k__Bacteria;p__Gemmatimonadetes;
Planctomycetes	0.000777471	0.000301581	0.003058917	0.001415428	0.001042481	0.002388746	0.001916904	0.001565966	0.001747106	0.001420699	0.001376522	0.00235002	0.000687965	0.002476215	0.001697571	0.002645044	0.003668537	0.00116139	0.003917254	0.003627789	0.004584064	0.001413802	0.003968435	0.001392515	0.000560974	0.000607507	0.001400254	0.000816783	0.00108272	0.001247327	0.001585903	0.002863919	0.000563649	0.001039906	0.002191925	0.000217023	0.000790757	0.001640653	0.001342573	0.001523262	0.000563576	0.00108923	0.006104844	0.000475984	0.000999175	0.000918434	0.000999479	0.000344575	0.000955483	0.001363656	0.002154509	0.001498656	0.001196384	0.000525878	0.003165121	0.000783597	0.001180638	0	0.000171689	0.00136834	4.26E-05	0.000385373	0.000472245	8.51E-05	0	0.000212965	0.000128227	0.000255504	0.000428633	0.001713869	0.001039816	0.000468085	0.000342436	0.000523743	0.00094893	0.001048951	0.004235823	0.000610927	0.000650957	0.000475943	0.000698507	0.00030149	0.001802832	0.000258944	0.001812689	0.000737975	0.00077516	0.000516551	0.000475224	0.000948685	0.001454129	0.001355962	0.000603032	0.000215834	0.001459478	0.000735931	0.000343909	0.000515243	0.000646162	0.003338605	0.000213301	0.000385373	0.000601426	8.50E-05	8.62E-05	0.006361761	0.000733328	0.000299516	0.000170911	0.000257522	0.0001703	0.000169996	0.000428504	0	0	0.000300416	0.000689655	0.004607494	8.52E-05	0.000640834	0.001547855	0.000128601	0.000170169	0.00017086	0.000428192	0.001861042	0.000170046	0.000727242	0.001422475	0.001667618	0.003421874	0.000899666	0.008136063	0.000849798	0.005950357	0.001411584	0.004182315	0.001205494	0.000472509	0.000946684	0.000650703	0.00038501	0.000429332	0.00017177	0.000128254	4.26E-05	0.000518493	0.000172794	0.000257224	0	0.000254918	0	8.49E-05	8.50E-05	8.51E-05	0.00017059	0.000169671	0.000128469	0	0.000213858	0.005012198	0.000170452	0.000514337	0.00025533	4.27E-05	0.00060957	4.27E-05	0.000214712	0.000687965	0.000259056	0.000427332	0.000128008	0.000432227	0.002844318	0.000214041	0.000613739	0.0002607	0.000468584	0.000212866	0.00076864	0.000385869	8.61E-05	4.26E-05	4.27E-05	8.56E-05	0.000214804	0	0.000900476	0.000473301	0.001710001	0.002760306	0.002087592	0.001403324	0.002822834	0.002195045	0.001269869	0.002213989	0.00095016	k__Bacteria;p__Planctomycetes;
Crenarchaeota	0.000388735	0.00043083	0.002881589	0	0	0.001813678	0.003120542	0.00139197	0.00074252	0.00030136	0.000258098	0.00031038	0.000601969	0.000955732	0.000391747	0.002254791	0.003150626	0.00038713	0.000352113	0.000136042	0.001078603	0.000441813	0.002326324	0.000261097	0.001726072	0.000173573	0.000656369	0.000128966	0.000433088	0.000579116	0.000352423	0.000581734	0.00017343	0.000346635	0.000175354	4.34E-05	0.000351448	0.000310394	0.000303162	0	0	0	0.000398142	0.000259628	0.000173769	8.75E-05	0.000478011	4.31E-05	0.000217155	4.40E-05	0.000571604	0.000220391	0.000576037	0.000131469	0.000802425	8.71E-05	0.000437273	8.57E-05	0.000557988	0	0	0.000214096	0.000300519	0	0	8.52E-05	0	0	0.000214316	8.57E-05	4.33E-05	0	0.000299632	0.000392807	0.000172533	0.000480769	0.000172891	0.000305463	0.000130191	0.000389408	8.73E-05	0	0.001670917	0.000215787	0.000215796	0.000217052	4.31E-05	0.000473505	0	0.000258732	0.000132194	0.000131222	8.61E-05	8.63E-05	0	0.0004329	8.60E-05	0	0.000516929	0.000351432	0	0.000128458	4.30E-05	0	0.000603214	0.000171939	0.000129411	8.56E-05	0.000170911	4.29E-05	0	4.25E-05	0.000214252	0.000170947	8.49E-05	4.29E-05	0.000301724	0.000217335	0.000127752	0.000128167	0.000128988	0.000257202	0	0.000469865	0.000471011	0.004563984	8.50E-05	0.000299452	0.000689685	0.000131654	8.55E-05	0.000214206	0.000216385	4.25E-05	0.000467528	4.28E-05	0.000298737	0	8.59E-05	4.30E-05	0.000216901	0	0.000171733	4.29E-05	4.28E-05	0	8.64E-05	0.00025919	4.29E-05	8.53E-05	8.50E-05	4.25E-05	4.24E-05	8.50E-05	0	0	0	4.28E-05	0	0.000171086	0.000709692	4.26E-05	0	0	0.000298928	0.000827274	0	4.29E-05	0.000128993	0.000302232	0.0001282	4.27E-05	0.000432227	0.000399982	4.28E-05	8.77E-05	0.000738649	0	8.51E-05	0.000170809	0.000171497	0.00030149	0	0	0	0	0	0.000257279	0.000430274	0	0.00099552	4.35E-05	0.000701662	0.001254593	0.002239842	0.000350309	0.000225917	0.003498316	k__Archaea;p__Crenarchaeota;
WWE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010112461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.31E-05	0	0	0	0	0	0	0	0	4.37E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.31E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.28E-05	0	0	0	0	0	0	0	4.29E-05	4.31E-05	0	8.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.32E-05	0	0.000171482	0	0	0	0	0	0	0	0	0	0	0.000128315	4.44E-05	0	0	0	8.54E-05	0	0	4.29E-05	0	0	0	0	0.000172891	0	0	0.007759414	0	0	4.26E-05	0	0	4.31E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__WWE1;
TM7	0	0.000129249	8.87E-05	0	0	0	0.000222896	0	0	0	8.60E-05	8.87E-05	0	0	8.71E-05	0	0	0	4.40E-05	0.000362779	0	0.000132544	0.000456142	0.000435161	0.000215759	8.68E-05	0	0	8.66E-05	4.45E-05	0	8.95E-05	0	0	8.77E-05	0	4.39E-05	0	0	0	8.67E-05	0	0.000132714	0	0	8.75E-05	0.000130367	0	8.69E-05	4.40E-05	0	0	8.86E-05	0	0	0	0	0	4.29E-05	4.28E-05	0	0	4.29E-05	0.000297822	0.000170561	0.000255558	0.000299196	0.000170336	0.000171453	8.57E-05	0	0.00012766	4.28E-05	0.000174581	0.0001294	4.37E-05	0	0.000130913	0	0.000129803	0	0.00012921	8.79E-05	8.63E-05	4.32E-05	0	0	0	0	0	8.81E-05	0.000306185	4.31E-05	8.63E-05	0	4.33E-05	4.30E-05	8.59E-05	0	0.000219645	0.000298622	4.28E-05	8.59E-05	0	8.62E-05	8.60E-05	4.31E-05	0	0	0.000300442	0	0	0	0.000128211	0	0	0	4.35E-05	0.000170336	0	0	0	0	0	0	4.43E-05	0	0	0	0	8.55E-05	8.57E-05	0	0	0	0	0	0	8.59E-05	0.000129093	0	0	0	4.29E-05	4.28E-05	0	0	0	8.57E-05	8.53E-05	0	0	0	0	0	4.26E-05	0	4.28E-05	4.24E-05	0	8.87E-05	0	4.29E-05	0	0	0	0	0	0.000128993	0	0	0	4.32E-05	4.44E-05	0	4.38E-05	4.34E-05	0	0	0	8.57E-05	0.00012921	4.26E-05	0	0	0	0	8.58E-05	0	0	0	4.35E-05	4.39E-05	4.48E-05	0	0	0.00930779	8.64E-05	k__Bacteria;p__TM7;
Fibrobacteres	0.002634762	0.001378657	0.006206499	0.00207891	0.001867779	0.00022118	8.92E-05	0	4.37E-05	4.31E-05	0	8.87E-05	4.30E-05	4.34E-05	4.35E-05	0	4.32E-05	0.000215072	0.000440141	0.000408126	0.002292032	0.001723071	0.000501756	0.001087903	0.000172607	4.34E-05	4.38E-05	0	0	0.000400927	0	0.000402739	8.67E-05	0	0.000175354	4.34E-05	4.39E-05	0.00044342	0	0	0	0.000130708	0	8.65E-05	0	0.00043735	8.69E-05	0	0	0.000131967	4.40E-05	0	0.000221553	0	0.000133738	4.35E-05	0.000131182	0	0	4.28E-05	0	0	0	0	0	0	0	0	0	0	0	4.26E-05	8.56E-05	0	0	0.000218531	4.32E-05	0.000218188	0	0	8.73E-05	0	0	4.32E-05	0	0	0	0	0	8.62E-05	0.000132194	4.37E-05	0	4.32E-05	0	0	0	0	8.62E-05	0	0	0	0	0	0	0	0	0	8.55E-05	4.29E-05	0	0	0	0	0	0	4.31E-05	4.35E-05	0	0	4.30E-05	0	0	0	0.000214096	0.000132932	0	0	4.31E-05	0.000526616	0	0	0	0	0	0	0	0.000344427	0	0	4.34E-05	0	0	4.29E-05	0	0	0	4.32E-05	8.57E-05	0	0	0	0	0	0	0	0	4.28E-05	0	0	8.87E-05	0	0	8.51E-05	0	0	0	0	0	4.32E-05	0	8.53E-05	0	0	4.28E-05	4.38E-05	0	0	0	0	0	0	0	4.27E-05	0	0	0	0.000128639	0	0	9.05E-05	0.000260949	0.003639872	0.002464379	0.003001389	0	4.52E-05	0	k__Bacteria;p__Fibrobacteres;
OP8	4.32E-05	0	0	4.42E-05	4.34E-05	0	4.46E-05	0	4.37E-05	0	0	0.00017736	0	0	0	0	0	0	0.000132042	0.000770905	0	0	0	0	0	0	0	0.000171954	0	4.45E-05	8.81E-05	0	8.67E-05	0	0	0	0	8.87E-05	0	4.35E-05	4.34E-05	0.000217846	0	4.33E-05	4.34E-05	0.00017494	0	0	0	0	0	0	0	8.76E-05	4.46E-05	0	8.75E-05	4.29E-05	0	0	0	0	0	0	0	0	0	0	0	4.28E-05	0	0	0	0	0	0	0	8.73E-05	0.000130191	0	0	0	4.40E-05	0	0	0	0	0	0	0	0	0	0	4.32E-05	0	0	0	0	0	0.000131787	0	0	0	0	0	0	8.63E-05	0	4.27E-05	0	0	0	0	0	0	0	4.31E-05	4.35E-05	0	4.27E-05	0	0	0	0	0	4.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000216901	0	0	0	0	0.000127757	4.32E-05	0	0.000257224	0	0	0	0	0	0	0	0	0.000214114	0	0	0.000221779	4.26E-05	0	0	0	4.35E-05	0	4.29E-05	8.60E-05	0	0	0	8.64E-05	0	0.000128425	0.000789093	4.34E-05	0	0	0	0	4.31E-05	0	0	0	0	0	4.29E-05	0	4.38E-05	0	0	0.000175416	0.000134421	0.006181965	4.38E-05	0	0	k__Bacteria;p__OP8;
Armatimonadetes	8.64E-05	8.62E-05	0.000177329	8.85E-05	0.000173747	4.42E-05	0.000401213	8.70E-05	8.74E-05	4.31E-05	0.000129049	0.00026604	0.000257987	0.000955732	0.00017411	0.000260168	0.000129478	0	0.001452465	0.00480682	0.000853894	0.000751082	0.001368426	0.000826806	4.32E-05	0	0.000175032	0	0	8.91E-05	0.000176211	4.47E-05	0	0.000173318	8.77E-05	0.000130214	8.79E-05	4.43E-05	4.33E-05	4.35E-05	0.000173408	4.36E-05	0.000398142	4.33E-05	4.34E-05	0.000131205	0	0	0	8.80E-05	4.40E-05	0	4.43E-05	4.38E-05	4.46E-05	4.35E-05	0	0	0	4.28E-05	0	0.000256915	0.000128794	0	0	4.26E-05	0.000299196	0.000127752	8.57E-05	4.28E-05	4.33E-05	0	4.28E-05	0	0	0	0	0	0	8.65E-05	0.000218283	0	4.40E-05	0.000129472	4.32E-05	0.000130231	0.000215322	0.000172184	0.000216011	0.00021561	0	0.000131222	0.000215369	0.000172667	0.000386332	8.66E-05	0	8.59E-05	0.000129232	0.000131787	4.27E-05	4.28E-05	0	0	0	0	8.63E-05	8.56E-05	0.000128183	8.58E-05	0	0	4.29E-05	0	8.49E-05	0.000171666	4.31E-05	0.000260802	0.000127752	0	4.30E-05	0	0.000212712	4.27E-05	0	0.000177242	8.50E-05	8.56E-05	8.62E-05	0.000263308	0.000171094	0.000214206	0.000129831	0.00016996	0.00017001	8.56E-05	4.27E-05	0	4.30E-05	4.30E-05	0	0	0	0	0	0	0	0	4.29E-05	0	0	4.25E-05	0	0	0.000127627	0	8.48E-05	0	0	0	0.000177423	4.26E-05	0	0	0	4.35E-05	0.00012803	0	0	0	8.55E-05	4.27E-05	0	0	4.28E-05	0.000131515	0	4.26E-05	0	0	0.000214371	0	4.26E-05	0	4.28E-05	4.30E-05	0	0.000171519	0.00017211	0.00035077	0.000543011	0.000260949	0.000175416	0.000627296	0.000447968	4.38E-05	0.000587385	0	k__Bacteria;p__Armatimonadetes;
Synergistetes	0	0	0	0	4.34E-05	0	0.000133738	0	0	8.61E-05	0.000129049	4.43E-05	4.30E-05	0	4.35E-05	0	0	0	8.80E-05	0.000136042	8.99E-05	0	0	0	0	0	4.38E-05	0	4.33E-05	4.45E-05	0	4.47E-05	0	0	8.77E-05	0	8.79E-05	0	0	0	4.34E-05	0	4.42E-05	4.33E-05	8.69E-05	4.37E-05	0	4.31E-05	0	4.40E-05	0	8.82E-05	0	0	4.46E-05	0.000130599	0	4.29E-05	0	0	4.26E-05	0.000128458	4.29E-05	0	0	0	0	0	0	0	0	0	0	4.36E-05	0	0	0	0	0	0	0	0	0	0	8.63E-05	0.000217052	0	0	0	0	4.41E-05	0	0	0	0	0	0	0	0	8.79E-05	0	8.56E-05	0.000128877	0.000127448	0	0	0	0.000128364	0	4.29E-05	0	0	4.29E-05	0	0	0	0	4.35E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.33E-05	0	0	0	0	0	0	0	0.000130141	0.00038501	4.29E-05	0	0.000171006	4.26E-05	0	0	0.000214353	0	8.50E-05	0	0	0	0	4.26E-05	0	0	0	8.55E-05	0	0	0	0	4.27E-05	0.000217704	0	0.000257654	0	0	8.55E-05	8.53E-05	0	4.44E-05	0	0.000263031	4.34E-05	0	4.26E-05	4.27E-05	0	0	0	0	0	0.000128883	0	0.000128639	0.00017211	0.001666155	0.000226255	0	0.000263123	0.000134421	0.003852529	0	0	0	k__Bacteria;p__Synergistetes;
